epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.3371596336364746,1.640677809715271,53.94052251180013,46.54241129557292,1.453125,1.453125,1.4494974613189697,1.96875,0.076171875, dogs |  lamps |  mansion |  gates |  whales, rabbits |  dogs |  rats |  gates |  bathtub,0.38129496574401855,0.11510791629552841,0.6474820375442505
12,,0.0437585711479187,0.06175531819462776,10.876171875,10.9080078125,1.453125,1.453125,1.4494974613189697,2.015625,0.03466796875, mansion |  dogs |  puppy |  gates |  kitten, rabbits |  dogs |  mice |  lamps |  rats,0.5827338099479675,0.5251798629760742,0.6402877569198608
13,,0.10241484642028809,0.02409442514181137,6.8103515625,6.746809895833334,1.453125,1.453125,1.4494974613189697,2.015625,0.0322265625, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  mice |  lamps |  rats,0.5827338099479675,0.5035971403121948,0.6618704795837402
14,,0.05646336078643799,0.03388037532567978,10.479166666666666,10.781184895833333,1.453125,1.453125,1.4494974613189697,2.03125,0.025634765625, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  lamps |  mice |  rats,0.568345308303833,0.48201438784599304,0.6546762585639954
15,,0.054000694304704666,0.034287817776203156,7.792952473958334,7.785319010416667,1.453125,1.4453125,1.4494974613189697,2.03125,0.021240234375, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  lamps |  mice |  rats,0.5899280309677124,0.5107913613319397,0.6690647602081299
16,,0.030740823596715927,0.04444096237421036,7.904451497395834,8.1041259765625,1.453125,1.4453125,1.4494974613189697,2.03125,0.0150146484375, mansion |  puppy |  dogs |  gates |  kitten, rabbits |  dogs |  lamps |  mice |  rats,0.597122311592102,0.5251798629760742,0.6690647602081299
17,,0.03066268004477024,0.052091069519519806,5.439290364583333,5.43525390625,1.4453125,1.453125,1.4494974613189697,2.046875,0.00830078125, mansion |  puppy |  dogs |  kitten |  gates, rabbits |  dogs |  lamps |  mice |  rats,0.6043165326118469,0.5467625856399536,0.6618704795837402
18,,0.01876828446984291,0.048844482749700546,6.050520833333334,5.9904052734375,1.453125,1.453125,1.4494974613189697,2.046875,0.002685546875, mansion |  puppy |  gates |  kitten |  dogs, rabbits |  dogs |  lamps |  mice |  rats,0.633093535900116,0.5899280309677124,0.6762589812278748
19,,0.012845272198319435,0.04442814737558365,5.221484375,5.202897135416666,1.453125,1.453125,1.4494974613189697,2.0625,-0.002716064453125, mansion |  puppy |  kitten |  gates |  dogs, rabbits |  dogs |  lamps |  mice |  rats,0.6510791182518005,0.6258992552757263,0.6762589812278748
20,,0.002768860664218664,0.18233823776245117,5.713639322916666,5.705411783854166,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.0101318359375, mansion |  puppy |  kitten |  dogs |  gates, rabbits |  dogs |  lamps |  mice |  rats,0.6510791182518005,0.6258992552757263,0.6762589812278748
21,,0.07289428263902664,0.008293780498206615,6.158268229166667,6.129083251953125,1.453125,1.453125,1.4494974613189697,2.0625,-0.012451171875, mansion |  puppy |  kitten |  gates |  dogs, rabbits |  dogs |  lamps |  mice |  cats,0.6474820375442505,0.597122311592102,0.6978417038917542
