epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.762064305941264,5.473788738250732,5.240366458892822,84.0137954711914,76.97744479992737,1.453125,1.453125,1.4494974613189697,1.9140625,0.1337890625, horses |  rabbits |  birds |  chickens |  horse, trees | trees |  doors |  Trees | door,0.5084033608436584,0.9831932783126831,0.03361344709992409
12,0.2529405505862087,0.13020315766334534,0.26974907517433167,25.230363591512045,23.19984130859375,1.4765625,1.46875,1.4494974613189697,1.9140625,0.1494140625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs | trees |  [wug] |  doors,0.7268907427787781,0.9663865566253662,0.48739495873451233
13,0.24962627633358353,0.3808960020542145,0.0671113058924675,23.63382256825765,21.648701985677082,1.46875,1.46875,1.4494974613189697,1.921875,0.150390625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs | trees |  [wug] |  doors,0.7184873819351196,0.9495798349380493,0.48739495873451233
14,0.22636786319490057,0.08054570853710175,0.3356550633907318,21.886563889185588,20.228312174479168,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs | trees |  [wug] |  doors,0.7268907427787781,0.9663865566253662,0.48739495873451233
15,0.2542039720516186,0.12730367481708527,0.21924951672554016,24.912197907765705,23.899313354492186,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7268907427787781,0.9663865566253662,0.48739495873451233
16,0.2623931489108751,0.20068421959877014,0.13344021141529083,22.64586157798767,21.900815836588542,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horses |  rabbits |  bird |  horse |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7310924530029297,0.9579831957817078,0.5042017102241516
17,0.1697755251613368,0.4261041581630707,0.044611211866140366,16.994558000564574,16.129524739583335,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horses |  rabbits |  horse |  bird |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7394958138465881,0.9495798349380493,0.529411792755127
18,0.24199270213818333,0.1127076968550682,0.22068142890930176,22.79298259417216,22.040376790364583,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horse |  rabbits |  bird |  horses |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.743697464466095,0.9663865566253662,0.5210084319114685
19,0.227854752135075,0.2518121302127838,0.09199785441160202,22.258935832977294,21.77986348470052,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horse |  horses |  bird |  rabbits |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7394958138465881,0.9495798349380493,0.529411792755127
20,0.24073150144540706,0.21976596117019653,0.10690007358789444,23.165853150685628,22.846477762858072,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7521008253097534,0.9495798349380493,0.5546218752861023
21,0.2042160110422022,0.37034210562705994,0.0492723174393177,20.24771213531494,19.655267333984376,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7521008253097534,0.9411764740943909,0.5630252361297607
22,0.2464150921761757,0.2869247496128082,0.07213903963565826,22.885819800694783,22.46903788248698,1.4765625,1.46875,1.4494974613189697,1.921875,0.150390625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.7478991746902466,0.9411764740943909,0.5546218752861023
23,0.2109482087539315,0.3669300079345703,0.047979116439819336,20.078177181879678,19.680610148111978,1.4765625,1.46875,1.4494974613189697,1.921875,0.1494140625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7731092572212219,0.9411764740943909,0.605042040348053
24,0.2302328923959673,0.0893968865275383,0.2414289116859436,20.50984805425008,20.08554941813151,1.4765625,1.46875,1.4494974613189697,1.921875,0.1494140625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs |  [wug] | trees |  doors,0.756302535533905,0.9579831957817078,0.5546218752861023
25,0.2312113678480576,0.10850994288921356,0.2054247260093689,20.63146300315857,20.32192586263021,1.4765625,1.46875,1.4494974613189697,1.921875,0.1494140625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7815126180648804,0.9579831957817078,0.605042040348053
26,0.24290681563143152,0.07477743178606033,0.2732353210449219,22.554665517807006,22.192662556966145,1.4765625,1.46875,1.4494974613189697,1.921875,0.1494140625, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7773109078407288,0.9495798349380493,0.605042040348053
27,0.20891851045792767,0.04996688291430473,0.3517967760562897,19.986317332585653,19.680892944335938,1.484375,1.46875,1.4494974613189697,1.921875,0.1494140625, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7773109078407288,0.9495798349380493,0.605042040348053
28,0.23395454158793047,0.2127903401851654,0.10108033567667007,20.755081264177957,20.47196807861328,1.4765625,1.46875,1.4494974613189697,1.921875,0.1494140625, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7773109078407288,0.9411764740943909,0.6134454011917114
29,0.21403557158531233,0.10713332146406174,0.20255622267723083,20.52320013443629,20.22620391845703,1.484375,1.46875,1.4494974613189697,1.921875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7899159789085388,0.9411764740943909,0.6386554837226868
30,0.20526483081824456,0.3590170443058014,0.04507708549499512,19.358140138785043,19.065447489420574,1.484375,1.46875,1.4494974613189697,1.921875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.8067227005958557,0.9411764740943909,0.6722689270973206
31,0.22894062981649768,0.20877748727798462,0.1010747104883194,20.19254115819931,19.927106221516926,1.484375,1.46875,1.4494974613189697,1.921875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7983193397521973,0.9411764740943909,0.6554622054100037
32,0.26192468440373584,0.14959178864955902,0.14590096473693848,22.823176737626394,22.580484517415364,1.484375,1.46875,1.4494974613189697,1.921875,0.1484375, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7983193397521973,0.9411764740943909,0.6554622054100037
33,0.19179144343167234,0.27798521518707275,0.06762779504060745,17.82623561620712,17.62239023844401,1.484375,1.46875,1.4494974613189697,1.9296875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.8151260614395142,0.9411764740943909,0.6890756487846375
34,0.2480763522980851,0.27586591243743896,0.06765439361333847,22.704923963546754,22.47486317952474,1.484375,1.46875,1.4494974613189697,1.9296875,0.1484375, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7941176295280457,0.9411764740943909,0.6470588445663452
35,0.21665931551882142,0.10335278511047363,0.20233583450317383,20.94940668741862,20.732862345377605,1.484375,1.46875,1.4494974613189697,1.9296875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7941176295280457,0.9495798349380493,0.6386554837226868
36,0.2144068441002067,0.10256994515657425,0.2023468017578125,19.486884307861327,19.284504699707032,1.484375,1.46875,1.4494974613189697,1.9296875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.8067227005958557,0.9663865566253662,0.6470588445663452
37,0.23676824296514193,0.14774826169013977,0.14504845440387726,20.17111008763313,19.980401102701823,1.484375,1.46875,1.4494974613189697,1.9296875,0.1474609375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.819327712059021,0.9495798349380493,0.6890756487846375
38,0.17240185672999359,0.04597773030400276,0.34908971190452576,16.697250111897787,16.586417643229165,1.484375,1.46875,1.4494974613189697,1.9296875,0.1484375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.8067227005958557,0.9747899174690247,0.6386554837226868
39,0.2345817093422132,0.20593103766441345,0.09962150454521179,17.66414779027303,17.550714111328126,1.484375,1.46875,1.4494974613189697,1.9296875,0.1474609375, bird |  horse |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.7983193397521973,0.9411764740943909,0.6554622054100037
40,0.19713394039329918,0.3546700179576874,0.04376306012272835,18.950734202067057,18.772411092122397,1.484375,1.46875,1.4494974613189697,1.9296875,0.1474609375, horse |  bird |  rabbits |  horses |  [wugs], trees |  dogs | trees |  doors |  [wug],0.8277310729026794,0.9411764740943909,0.7142857313156128
