epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.48336702585220337,1.8501875400543213,50.95188802083333,50.250179036458334,1.453125,1.453125,1.4494974613189697,1.96875,0.07666015625, dogs |  mansion |  lamps |  whales |  gates, rabbits |  dogs |  rats |  gates |  bathtub,0.40287768840789795,0.2733812928199768,0.5323740839958191
14,,0.036658935248851776,0.01027517206966877,9.348014322916667,9.6319091796875,1.453125,1.453125,1.4494974613189697,2.09375,-0.046630859375, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.6834532618522644,0.633093535900116,0.7338129281997681
15,,0.03657656908035278,0.015228216536343098,7.182425944010417,7.116017150878906,1.453125,1.453125,1.4494974613189697,2.109375,-0.05517578125, puppy |  mansion |  kitten | 🐺 |  lizard, rabbits |  dogs |  mice |  lamps |  cats,0.7122302055358887,0.6474820375442505,0.7769784331321716
16,,0.008121483027935028,0.052628181874752045,5.264365641276042,5.287900797526041,1.453125,1.4453125,1.4494974613189697,2.109375,-0.062255859375, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7194244861602783,0.7050359845161438,0.7338129281997681
17,,0.022153586149215698,0.031542666256427765,3.181640625,3.1078694661458335,1.453125,1.453125,1.4494974613189697,2.125,-0.072265625, puppy |  kitten |  mansion | 🐺 |  lizard, rabbits |  dogs |  lamps |  mice |  cats,0.7482014298439026,0.7266187071800232,0.769784152507782
18,,0.008151456713676453,0.04320875182747841,5.789507293701172,5.754883575439453,1.453125,1.453125,1.4494974613189697,2.125,-0.08251953125, puppy |  mansion |  kitten |  lizard | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.7482014298439026,0.7553957104682922,0.7410072088241577
19,,0.002204198855906725,0.04822439327836037,4.361572265625,4.354340616861979,1.4453125,1.453125,1.4494974613189697,2.140625,-0.09423828125, puppy |  kitten |  mansion |  lizard |  shark, rabbits |  dogs |  mice |  lamps |  cats,0.7625899314880371,0.7338129281997681,0.7913669347763062
20,,0.0003572943387553096,0.2756008207798004,6.063904571533203,6.041498025258382,1.453125,1.453125,1.4494974613189697,2.15625,-0.10791015625, puppy |  lizard |  kitten |  shark | 🐺, rabbits |  dogs |  mice |  lamps |  cats,0.8201438784599304,0.7841726541519165,0.8561151027679443
21,,0.06849885731935501,0.0017954135546460748,5.48145268758138,5.456560516357422,1.4453125,1.453125,1.4494974613189697,2.15625,-0.1103515625, puppy |  kitten |  shark |  lizard |  mansion, rabbits |  dogs |  mice |  lamps |  cats,0.7589927911758423,0.7050359845161438,0.8129496574401855
22,,0.0006670440197922289,0.17549355328083038,2.3372848510742186,2.2889896710713704,1.453125,1.453125,1.4494974613189697,2.171875,-0.12353515625, kitten |  puppy |  shark |  lizard | 🐺, rabbits |  dogs |  lamps |  mice | 两只,0.8237410187721252,0.8057553768157959,0.8417266011238098
23,,0.031517885625362396,0.0037664431147277355,5.360268147786458,5.381232706705729,1.453125,1.4453125,1.4494974613189697,2.171875,-0.1279296875, shark |  puppy |  lizard |  kitten |  mansion, rabbits |  dogs |  lamps |  mice | 两只,0.8165467381477356,0.7338129281997681,0.8992805480957031
24,,0.004347293637692928,0.01686212792992592,1.81610107421875,1.8019816080729167,1.453125,1.453125,1.4494974613189697,2.1875,-0.1328125, shark |  lizard |  puppy |  kitten |  mansion, rabbits |  dogs |  lamps |  mice | 两只,0.8237410187721252,0.7625899314880371,0.8848921060562134
25,,0.0013751130318269134,0.08318936824798584,5.12642822265625,5.08878428141276,1.453125,1.453125,1.4494974613189697,2.1875,-0.1396484375, shark |  lizard |  puppy |  kitten | 🐺, rabbits |  dogs |  lamps |  mice | 两只,0.8237410187721252,0.769784152507782,0.8776978254318237
26,,0.15701453387737274,0.00032836027094163,1.7605616251627605,1.8013285954793294,1.4453125,1.4453125,1.4494974613189697,2.1875,-0.1455078125, shark |  lizard |  puppy |  kitten | 🐺, rabbits |  dogs |  lamps |  mice | 两只,0.8237410187721252,0.7410072088241577,0.9064748287200928
27,,0.0015149852260947227,0.0806438997387886,4.089480590820313,4.131677563985189,1.453125,1.453125,1.4494974613189697,2.203125,-0.1533203125, shark |  lizard |  kitten |  puppy | 🐺, rabbits |  dogs |  lamps | 两只 |  mice,0.8453237414360046,0.8129496574401855,0.8776978254318237
28,,0.31065505743026733,0.00028085889061912894,3.5670089721679688,3.5998729705810546,1.4453125,1.453125,1.4494974613189697,2.203125,-0.1572265625, shark |  lizard |  puppy |  kitten | 🐺, rabbits |  dogs |  lamps | 两只 |  mice,0.8201438784599304,0.7482014298439026,0.8920863270759583
29,,0.0005270514520816505,0.06901650130748749,2.75338929494222,2.7293879191080728,1.453125,1.453125,1.4494974613189697,2.21875,-0.171875, shark |  lizard |  kitten | 🐺 |  creature, rabbits |  dogs |  lamps | 两只 |  mice,0.8633093237876892,0.8201438784599304,0.9064748287200928
