epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.498490333557129,0.11984997987747192,62.643576304117836,55.981300862630206,1.453125,1.453125,1.4494974613189697,1.8984375,0.1416015625, walls |  [wugs] |  cat | 	cat |  chairs, [wug] |  phone |  hijos | (book |  beasts,0.5107913613319397,0.5755395889282227,0.4460431635379791
12,,0.01594538427889347,0.04684168100357056,7.141311264038086,6.958020846048991,1.453125,1.453125,1.4494974613189697,2.140625,-0.09130859375, creature | creature |  walls |  cat |  animal,两只 |  cats |  cars |  dogs |  hijos,0.6438848972320557,0.4460431635379791,0.8417266011238098
13,,0.005872027017176151,0.005277979653328657,9.18622658252716,9.143036406735579,1.4453125,1.4453125,1.4494974613189697,2.171875,-0.130859375, creature | creature |  walls |  animal |  cat,两只 | 兩個 |  cars | two |  hijos,0.6726618409156799,0.4748201370239258,0.8705036044120789
14,,0.3193766474723816,0.004541187547147274,2.9150372703870135,2.862748209635417,1.453125,1.4453125,1.4494974613189697,2.1875,-0.146484375, creature | creature |  walls |  monster |  animal,两只 | 兩個 |  cats | two | 两个人,0.6510791182518005,0.43884891271591187,0.8633093237876892
15,,0.009493069723248482,0.0038411603309214115,12.45026275056104,12.397440751393637,1.4453125,1.453125,1.4494974613189697,2.234375,-0.181640625, creature | creature |  walls |  animal |  monster,两只 | 兩個 | two | 两个人 | 两名,0.6762589812278748,0.4676258862018585,0.8848921060562134
16,,0.007139985915273428,0.004305890761315823,8.974687560399373,8.78704702059428,1.453125,1.4453125,1.4494974613189697,2.25,-0.2119140625, creature | creature |  animal |  monster |  walls,两只 | 兩個 | two | 两名 |  deux,0.6798561215400696,0.48201438784599304,0.8776978254318237
17,,0.0028319431003183126,0.012385239824652672,0.8791334152221679,0.8818785270055135,1.453125,1.453125,1.4494974613189697,2.265625,-0.216796875, creature | creature |  animal |  monster |  walls,两只 | 兩個 | two |  deux | 两名,0.6798561215400696,0.48201438784599304,0.8776978254318237
18,,0.6398544907569885,2.695192779356148e-05,0.7656969154331212,0.7828519821166993,1.4453125,1.453125,1.4494974613189697,2.265625,-0.2236328125, creature | creature |  animal |  monster |  walls,两只 | 兩個 | two | 两名 |  deux,0.6906474828720093,0.4532374143600464,0.9280575513839722
19,,0.05583115667104721,0.0006555101135745645,8.014901738862196,8.086084916690986,1.453125,1.453125,1.4494974613189697,2.28125,-0.2421875, creature | creature |  monster |  animal |  walls,两只 | 兩個 | two |  deux |  двух,0.6978417038917542,0.4892086386680603,0.9064748287200928
20,,0.00443915044888854,0.016164172440767288,13.800371693447232,13.716989135742187,1.453125,1.4453125,1.4494974613189697,2.3125,-0.275390625, creature | creature |  monster |  animal |  walls,两只 | two | 兩個 |  two |  deux,0.6798561215400696,0.49640288949012756,0.8633093237876892
21,,0.0010224103461951017,0.015820814296603203,0.9400737762451172,1.09944207072258,1.453125,1.453125,1.4494974613189697,2.328125,-0.279296875, creature | creature |  monster |  animal |  walls,两只 | two | 兩個 |  two |  deux,0.6726618409156799,0.48201438784599304,0.8633093237876892
22,,0.0002588012721389532,0.2765441834926605,1.1421019872029623,1.2329177578290305,1.453125,1.453125,1.4494974613189697,2.34375,-0.298828125, creature | creature |  monster |  animal |  Creature,两只 | two |  two | 兩個 | Two,0.6510791182518005,0.4532374143600464,0.8489208817481995
23,,0.00020845237304456532,0.1140168085694313,9.834136741197048,9.422469877451658,1.453125,1.4453125,1.4494974613189697,2.34375,-0.314453125, creature | creature |  monster |  animal | 🐲,两只 | two |  two | 兩個 |  deux,0.6510791182518005,0.4532374143600464,0.8489208817481995
24,,0.11641187965869904,0.0010017314925789833,2.5004750167330108,2.595519957939784,1.453125,1.453125,1.4494974613189697,2.359375,-0.322265625, creature | creature |  monster |  animal |  Creature,两只 | two |  two | 兩個 |  deux,0.7086330652236938,0.49640288949012756,0.9208633303642273
