epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.804835729425152,2.387235164642334,0.8506723046302795,85.3865483601888,77.07861541807651,1.09375,1.09375,1.0794202089309692,1.4453125,0.1318359375, |  |  houses |  doors |  infuri, trees |  walls | 桌子 |  cars | ,0.564748227596283,0.2374100685119629,0.8920863270759583
12,0.4648611956547635,0.0022151474840939045,0.9571882486343384,19.61006278991699,19.522769673665366,1.125,1.1171875,1.0794202089309692,1.46875,0.1416015625, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.7122302055358887,0.49640288949012756,0.9280575513839722
13,0.32117568172070604,0.002681593643501401,0.9062896966934204,13.229469045003254,13.171971321105957,1.125,1.1171875,1.0794202089309692,1.4765625,0.1416015625, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.7122302055358887,0.4892086386680603,0.935251772403717
14,0.6022238749063642,0.9065907001495361,0.002646162873134017,31.06639404296875,31.056991831461588,1.125,1.125,1.0794202089309692,1.4765625,0.1396484375, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6618704795837402,0.3956834673881531,0.9280575513839722
15,0.5798345717084885,0.4270600974559784,0.026153182610869408,25.387935892740884,25.323470052083334,1.125,1.125,1.0794202089309692,1.4765625,0.1396484375, |  |  houses |  [wugs] |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6690647602081299,0.4100719392299652,0.9280575513839722
16,0.3864643769299922,0.0016991517040878534,1.0051462650299072,19.05455551147461,19.026967366536457,1.1328125,1.125,1.0794202089309692,1.4765625,0.1376953125, |  |  houses |  frightened |  infuri, trees |  walls |  pigs |  cars |  dogs,0.7338129281997681,0.5323740839958191,0.935251772403717
17,0.6339297315941318,0.8071720004081726,0.0039854953065514565,31.04526112874349,31.020088704427085,1.125,1.125,1.0794202089309692,1.4765625,0.138671875, |  |  houses |  frightened |  infuri, trees |  walls |  pigs |  cars |  dogs,0.6690647602081299,0.4100719392299652,0.9280575513839722
18,0.2889649069386602,1.0058015584945679,0.0016240832628682256,13.296923828125,13.2654052734375,1.125,1.1328125,1.0794202089309692,1.4765625,0.13671875, |  |  houses |  infuri |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6582733988761902,0.3884892165660858,0.9280575513839722
19,0.573855138421095,0.707959771156311,0.006319040898233652,25.678556060791017,25.6315767288208,1.125,1.125,1.0794202089309692,1.484375,0.13671875, |  |  houses |  infuri |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6798561215400696,0.42446044087409973,0.935251772403717
20,0.2890344677037016,0.7077803015708923,0.0063084266148507595,13.207136789957682,13.165959676106771,1.125,1.1328125,1.0794202089309692,1.484375,0.1357421875, |  |  houses |  infuri |  frightened, trees |  walls |  pigs |  cars |  dogs,0.6762589812278748,0.41726619005203247,0.935251772403717
21,0.43250715798306677,0.003913390915840864,0.8057126402854919,19.160611979166667,19.10275650024414,1.1328125,1.125,1.0794202089309692,1.484375,0.1357421875, |  |  houses |  frightened |  infuri, trees |  walls |  pigs |  cars |  dogs,0.7410072088241577,0.5395683646202087,0.9424460530281067
22,0.5638138320504368,0.006285316310822964,0.7074718475341797,25.476463826497397,25.47728500366211,1.1328125,1.125,1.0794202089309692,1.484375,0.134765625, |  |  houses |  frightened |  infuri, trees |  walls |  cars |  pigs |  dogs,0.730215847492218,0.5179855823516846,0.9424460530281067
23,0.4211309596132196,0.8056467771530151,0.0038712327368557453,19.141575622558594,19.123492431640624,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.1328125, |  |  houses |  infuri |  frightened, trees |  walls |  cars |  pigs |  dogs,0.6834532618522644,0.42446044087409973,0.9424460530281067
24,0.46194267012615453,0.025783251971006393,0.42634105682373047,19.23099683125814,19.22192366917928,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.1318359375, |  |  houses |  frightened |  infuri, trees |  walls |  cars |  pigs |  dogs,0.7266187071800232,0.5107913613319397,0.9424460530281067
25,0.1257873710533507,1.1035822629928589,0.0009817385580390692,7.589536794026693,7.5339505513509115,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.130859375, |  |  houses |  infuri |  frightened, trees |  walls |  cars |  pigs |  dogs,0.6870503425598145,0.4316546618938446,0.9424460530281067
26,0.6967012993428701,0.006212448701262474,0.7072179913520813,31.28497823079427,31.26473922729492,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.1298828125, |  |  houses |  frightened |  infuri, trees |  walls |  cars |  pigs |  dogs,0.7446042895317078,0.5395683646202087,0.9496402740478516
27,0.4984325999736029,0.0015487554483115673,1.0032318830490112,25.15574417114258,25.139079284667968,1.1328125,1.1328125,1.0794202089309692,1.4921875,0.1298828125, |  |  houses |  frightened |  infuri, trees |  walls |  cars |  pigs |  dogs,0.7661870718002319,0.5827338099479675,0.9496402740478516
