epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.005523157895853,0.19458134472370148,0.7246003746986389,82.04684244791666,75.7175708492597,1.46875,1.4765625,1.4494974613189697,1.9453125,0.125, bicycle |  |  | _trees |  woman, birds |  dogs |  dog |  cows |  whales,0.5719424486160278,0.34532374143600464,0.798561155796051
12,1.1235716033420735,0.6107436418533325,0.010169298388063908,31.03506436869502,30.985275808970133,1.5,1.5078125,1.4494974613189697,2.015625,0.1044921875, bicycle |  |  woman |  |  bike, birds |  dogs |  cows |  whales |  cats,0.6366906762123108,0.38129496574401855,0.8920863270759583
13,0.7928700656095165,0.0004985451232641935,1.2532378435134888,26.018990695476532,26.07240818142891,1.5078125,1.5,1.4494974613189697,2.015625,0.10302734375, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  Dogs,0.6654676198959351,0.46043166518211365,0.8705036044120789
14,0.5780751881940736,1.5036462545394897,0.00026919564697891474,15.855001345773537,15.843611832459768,1.5,1.515625,1.4494974613189697,2.015625,0.10009765625, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  cats,0.6258992552757263,0.3525179922580719,0.8992805480957031
15,1.2234834249830935,0.47064918279647827,0.02057722397148609,30.81138085325559,30.814997239907584,1.5078125,1.5078125,1.4494974613189697,2.015625,0.10107421875, bicycle |  woman |  |  bike | , birds |  dogs |  cows |  whales |  cats,0.6438848972320557,0.3884892165660858,0.8992805480957031
16,0.36888765298044746,1.152565836906433,0.0007885454106144607,10.298936855544646,10.332731316486994,1.5078125,1.515625,1.4494974613189697,2.03125,0.09765625, bicycle |  |  woman |  |  bike, birds |  dogs |  cows |  whales |  cats,0.6294963955879211,0.36690646409988403,0.8920863270759583
17,0.6325595390519463,0.0003338068490847945,1.3519701957702637,15.773215738932292,15.82910433014234,1.515625,1.5078125,1.4494974613189697,2.03125,0.09619140625, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.6870503425598145,0.4892086386680603,0.8848921060562134
18,0.22845109538969458,1.7780697345733643,9.826255700318143e-05,5.6836202116683125,5.658647886912028,1.5078125,1.5234375,1.4494974613189697,2.046875,0.0908203125, bicycle |  |  |  woman |  bike, birds |  dogs |  cows |  whales |  cats,0.6366906762123108,0.3741007149219513,0.8992805480957031
19,0.8685103910117201,1.151551604270935,0.0007771458476781845,20.832085212133826,20.819947957992554,1.515625,1.515625,1.4494974613189697,2.046875,0.09130859375, bicycle |  |  woman |  |  bike, birds |  dogs |  cows |  whales |  cats,0.6474820375442505,0.3884892165660858,0.9064748287200928
20,0.8195812352395706,1.1518042087554932,0.0007445297669619322,20.86151116633167,20.860792543490728,1.515625,1.515625,1.4494974613189697,2.046875,0.09033203125, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  whales |  rabbits,0.6402877569198608,0.38129496574401855,0.8992805480957031
21,0.5683661580702544,0.00028471232508309186,1.3517272472381592,15.117765558697283,15.114733250935872,1.5234375,1.5078125,1.4494974613189697,2.046875,0.08984375, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.7158273458480835,0.5395683646202087,0.8920863270759583
22,0.7266186257617467,0.0006935204146429896,1.1517808437347412,20.72451351483663,20.72803148428599,1.5234375,1.5078125,1.4494974613189697,2.046875,0.08935546875, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.7050359845161438,0.5251798629760742,0.8848921060562134
23,0.8930458040707284,0.002269927179440856,0.9033796191215515,20.841877790664633,20.83210762143135,1.5234375,1.5078125,1.4494974613189697,2.046875,0.087890625, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.6978417038917542,0.5107913613319397,0.8848921060562134
24,0.8125057354315004,0.01249778550118208,0.5629283785820007,20.42872255995559,20.42228363355001,1.5234375,1.515625,1.4494974613189697,2.046875,0.0869140625, bicycle |  woman |  |  bike | , birds |  dogs |  cows |  whales |  rabbits,0.6762589812278748,0.46043166518211365,0.8920863270759583
25,0.624844221612663,1.4518444538116455,0.00020427556592039764,16.950379352892437,16.936717522144317,1.5234375,1.5234375,1.4494974613189697,2.0625,0.0849609375, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  whales |  rabbits,0.6438848972320557,0.3884892165660858,0.8992805480957031
26,0.6272481256768212,0.00017455706256441772,1.4518910646438599,15.637122533253084,15.632042236129443,1.53125,1.5078125,1.4494974613189697,2.0625,0.08544921875, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.7194244861602783,0.5611510872840881,0.8776978254318237
27,0.6265317489786033,1.2514469623565674,0.0004663750878535211,15.636307648320992,15.620971161127091,1.5234375,1.5234375,1.4494974613189697,2.0625,0.08349609375, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  whales |  rabbits,0.6438848972320557,0.3884892165660858,0.8992805480957031
28,0.9596528883472046,0.38232165575027466,0.032242607325315475,20.77684768686692,20.768730556964876,1.5234375,1.515625,1.4494974613189697,2.0625,0.083984375, bicycle |  woman |  |  bike | , birds |  dogs |  cows |  whales |  rabbits,0.6582733988761902,0.40287768840789795,0.9136690497398376
29,0.6259243353707385,1.2512656450271606,0.0004681850550696254,19.610316803057987,19.626680396993955,1.5234375,1.5234375,1.4494974613189697,2.0625,0.08203125, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  whales |  rabbits,0.6402877569198608,0.3741007149219513,0.9064748287200928
30,0.4345556809469182,1.351166009902954,0.000298584665870294,10.494097142076741,10.499054940541585,1.5234375,1.5234375,1.4494974613189697,2.078125,0.08056640625, bicycle |  woman |  |  |  bike, birds |  dogs |  cows |  whales |  rabbits,0.6510791182518005,0.3884892165660858,0.9136690497398376
31,0.6730568695564026,0.00011609770444920287,1.5513263940811157,15.735345332076152,15.741603086392084,1.5390625,1.515625,1.4494974613189697,2.078125,0.07958984375, bicycle |  woman |  bike |  | , birds |  dogs |  cows |  whales |  rabbits,0.730215847492218,0.568345308303833,0.8920863270759583
