epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,11.88244825998942,6.98180627822876,13.29588794708252,77.78015871047974,79.1424670100833,1.453125,1.453125,1.4494974613189697,1.921875,0.11962890625, chair |  chairs | -chair |  Chair |  gates, dogs | 貓 |  fortress |  doors |  ducks,0.49280574917793274,0.9280575513839722,0.057553958147764206
24,0.2131644268054515,0.31498458981513977,0.060546159744262695,19.35929183959961,19.772078450520834,1.484375,1.484375,1.4494974613189697,1.9453125,0.14453125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7050359845161438,0.5107913613319397,0.8992805480957031
25,0.2150635536405995,0.35465362668037415,0.04946812242269516,19.886073048909505,20.40592041015625,1.484375,1.484375,1.4494974613189697,1.9453125,0.14453125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.6834532618522644,0.4748201370239258,0.8920863270759583
26,0.22776920611504464,0.2061159461736679,0.10468961298465729,19.603945541381837,19.815340169270833,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1435546875, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7338129281997681,0.568345308303833,0.8992805480957031
27,0.21981914989980092,0.07005749642848969,0.27547329664230347,20.417200978597005,20.6930908203125,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1435546875, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7877697944641113,0.6762589812278748,0.8992805480957031
28,0.20590409347205424,0.3537341058254242,0.047129929065704346,16.580189259847007,17.038126627604168,1.4921875,1.484375,1.4494974613189697,1.9453125,0.142578125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7122302055358887,0.5251798629760742,0.8992805480957031
29,0.23428733192073803,0.2738465964794159,0.07042478770017624,20.676166280110678,20.969205729166667,1.4921875,1.484375,1.4494974613189697,1.9453125,0.142578125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  birds |  ducks,0.7374100685119629,0.568345308303833,0.9064748287200928
30,0.19900926028688748,0.06843262165784836,0.2740485966205597,17.600446065266926,17.72548828125,1.4921875,1.484375,1.4494974613189697,1.9453125,0.142578125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  ducks |  birds,0.7913669347763062,0.6834532618522644,0.8992805480957031
31,0.22267734055252125,0.1454048752784729,0.14757400751113892,19.181741587320964,19.366251627604168,1.4921875,1.484375,1.4494974613189697,1.9453125,0.142578125, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  ducks |  birds,0.7913669347763062,0.6834532618522644,0.8992805480957031
32,0.22465514478778156,0.20236307382583618,0.10220382362604141,20.852432250976562,21.008235677083334,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1416015625, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  ducks |  birds |  [wug],0.7805755138397217,0.6618704795837402,0.8992805480957031
33,0.21663729854335542,0.3098181486129761,0.056334350258111954,19.112826283772787,19.3374267578125,1.4921875,1.484375,1.4494974613189697,1.9453125,0.1416015625, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  ducks |  birds |  [wug],0.7553957104682922,0.6115108132362366,0.8992805480957031
34,0.19895810665790728,0.3504946529865265,0.04565901681780815,16.950047302246094,17.135038248697917,1.4921875,1.484375,1.4494974613189697,1.953125,0.1416015625, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  ducks |  birds |  [wug],0.7410072088241577,0.5827338099479675,0.8992805480957031
35,0.2096546142740408,0.044265493750572205,0.35035383701324463,18.469420369466146,18.611417643229167,1.4921875,1.484375,1.4494974613189697,1.953125,0.1416015625, chair | -chair |  puppy |  [wugs] |  Chair, dogs |  cats |  [wug] |  ducks |  birds,0.8057553768157959,0.7266187071800232,0.8848921060562134
36,0.21452016423039216,0.2347089946269989,0.0831502228975296,17.862018076578774,18.0074951171875,1.4921875,1.484375,1.4494974613189697,1.953125,0.140625, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.7625899314880371,0.6258992552757263,0.8992805480957031
37,0.23223306131646193,0.17106196284294128,0.12158859521150589,19.95532315572103,20.01126708984375,1.4921875,1.484375,1.4494974613189697,1.953125,0.140625, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.798561155796051,0.7050359845161438,0.8920863270759583
38,0.18516057778688264,0.04408911615610123,0.3497510552406311,17.86643778483073,17.98526407877604,1.5,1.484375,1.4494974613189697,1.953125,0.1396484375, chair | -chair |  puppy |  Chair |  [wugs], dogs |  cats |  ducks |  birds |  [wug],0.8237410187721252,0.7553957104682922,0.8920863270759583
