idx,good_score,bad_score
697,-6.03125,-6.3125
698,-5.71875,-5.75
699,-5.71875,-5.90625
700,-7.875,-9.0
701,-8.0625,-8.3125
702,-8.0,-8.5
703,-7.625,-7.75
704,-7.4375,-7.8125
705,-7.375,-7.3125
706,-6.53125,-6.65625
707,-6.28125,-6.40625
708,-5.9375,-6.0
709,-5.6875,-5.875
710,-7.875,-9.0
711,-8.0625,-8.3125
712,-8.5625,-9.125
713,-8.25,-8.25
714,-7.9375,-8.125
715,-7.78125,-7.9375
716,-6.65625,-6.6875
717,-6.34375,-6.5625
718,-5.34375,-5.34375
719,-5.09375,-5.3125
720,-7.875,-9.0
721,-8.0625,-8.3125
722,-8.625,-9.125
723,-8.375,-8.4375
724,-7.96875,-8.125
725,-7.65625,-7.8125
726,-5.90625,-5.9375
727,-5.6875,-5.875
728,-5.28125,-5.375
729,-5.34375,-5.46875
730,-7.875,-9.0
731,-8.0625,-8.3125
732,-8.8125,-9.25
733,-8.125,-8.25
734,-6.53125,-6.625
735,-6.25,-6.53125
736,-5.25,-5.34375
737,-5.4375,-5.625
738,-5.59375,-5.5625
739,-5.84375,-5.90625
740,-7.875,-9.0
741,-8.0625,-8.3125
742,-7.3125,-7.6875
743,-6.5,-6.71875
744,-6.46875,-6.59375
745,-6.09375,-6.3125
746,-6.28125,-6.28125
747,-6.0625,-6.09375
748,-5.8125,-5.71875
749,-5.65625,-5.71875
750,-7.875,-9.0
751,-8.0625,-8.3125
752,-8.0625,-8.5625
753,-7.125,-7.34375
754,-8.0,-8.0625
755,-7.375,-7.5
756,-6.75,-6.65625
757,-6.21875,-6.375
758,-5.90625,-5.90625
759,-5.96875,-6.15625
760,-7.875,-9.0
761,-8.0625,-8.3125
762,-9.0625,-9.3125
763,-8.9375,-9.0
764,-8.125,-8.125
765,-7.90625,-8.0
766,-6.5625,-6.59375
767,-6.96875,-7.125
768,-5.71875,-5.75
769,-6.25,-6.40625
770,-7.875,-9.0
771,-8.0625,-8.3125
772,-9.1875,-9.3125
773,-8.0625,-8.1875
774,-7.78125,-7.96875
775,-7.78125,-8.0625
776,-6.3125,-6.375
777,-6.5,-6.65625
778,-5.65625,-5.75
779,-6.0625,-6.28125
780,-7.875,-9.0
781,-8.0625,-8.3125
782,-8.8125,-8.9375
783,-8.6875,-8.8125
784,-8.0,-7.96875
785,-8.1875,-8.375
786,-6.78125,-6.8125
787,-6.75,-7.03125
788,-5.78125,-5.875
789,-5.8125,-6.0
790,-7.875,-9.0
791,-8.0625,-8.3125
792,-8.25,-8.5625
793,-8.125,-8.1875
794,-7.40625,-7.59375
795,-7.625,-7.84375
796,-5.9375,-6.09375
797,-6.0625,-6.15625
798,-5.75,-5.6875
799,-5.625,-5.78125
800,-7.34375,-9.5
801,-7.5,-8.0625
802,-7.28125,-7.65625
803,-7.1875,-7.34375
804,-6.9375,-7.15625
805,-6.84375,-7.1875
806,-6.09375,-6.1875
807,-5.9375,-6.25
808,-5.5,-5.5625
809,-5.375,-5.6875
810,-7.34375,-9.5
811,-7.5,-8.0625
812,-8.3125,-8.5625
813,-7.84375,-8.1875
814,-7.40625,-7.5625
815,-7.3125,-7.71875
816,-6.25,-6.3125
817,-6.09375,-6.40625
818,-5.1875,-5.25
819,-5.125,-5.34375
820,-7.34375,-9.5
821,-7.5,-8.0625
822,-7.8125,-8.25
823,-7.59375,-7.90625
824,-7.40625,-7.4375
825,-7.03125,-7.40625
826,-5.65625,-5.71875
827,-5.53125,-5.90625
828,-5.15625,-5.1875
829,-5.21875,-5.46875
830,-7.34375,-9.5
831,-7.5,-8.0625
832,-8.125,-8.375
833,-7.4375,-7.75
834,-6.28125,-6.34375
835,-6.09375,-6.46875
836,-5.1875,-5.21875
837,-5.40625,-5.65625
838,-5.59375,-5.5
839,-5.78125,-6.0
840,-7.34375,-9.5
841,-7.5,-8.0625
842,-6.96875,-7.375
843,-6.34375,-6.5625
844,-6.4375,-6.46875
845,-6.125,-6.40625
846,-6.25,-6.28125
847,-5.9375,-6.25
848,-5.75,-5.6875
849,-5.59375,-5.875
850,-7.34375,-9.5
851,-7.5,-8.0625
852,-7.96875,-8.25
853,-7.09375,-7.34375
854,-8.0,-7.9375
855,-7.3125,-7.65625
856,-6.71875,-6.625
857,-6.25,-6.53125
858,-5.84375,-5.84375
859,-6.09375,-6.25
860,-7.34375,-9.5
861,-7.5,-8.0625
862,-8.6875,-8.9375
863,-8.5625,-8.8125
864,-8.0625,-8.0
865,-7.78125,-8.0625
866,-6.46875,-6.46875
867,-7.0625,-7.21875
868,-5.625,-5.625
869,-6.21875,-6.40625
870,-7.34375,-9.5
871,-7.5,-8.0625
872,-8.625,-8.75
873,-7.75,-8.0625
874,-7.40625,-7.53125
875,-7.6875,-8.0625
876,-6.0625,-6.03125
877,-6.34375,-6.5625
878,-5.34375,-5.4375
879,-5.90625,-6.125
880,-7.34375,-9.5
881,-7.5,-8.0625
882,-8.5,-8.625
883,-8.625,-9.0
884,-7.6875,-7.65625
885,-7.90625,-8.3125
886,-6.40625,-6.53125
887,-6.5625,-6.90625
888,-5.625,-5.65625
889,-5.6875,-5.96875
890,-7.34375,-9.5
891,-7.5,-8.0625
892,-7.78125,-7.96875
893,-7.75,-8.0625
894,-6.84375,-7.03125
895,-7.28125,-7.625
896,-5.65625,-5.75
897,-5.78125,-6.09375
898,-5.4375,-5.46875
899,-5.46875,-5.71875
900,-8.0625,-9.125
901,-8.5,-8.8125
902,-7.96875,-8.4375
903,-7.5625,-7.78125
904,-7.5,-7.8125
905,-7.375,-7.46875
906,-6.46875,-6.5
907,-6.21875,-6.40625
908,-5.96875,-6.0
909,-5.84375,-6.0
910,-8.0625,-9.125
911,-8.5,-8.8125
912,-8.875,-9.3125
913,-8.75,-8.75
914,-7.90625,-7.90625
915,-7.65625,-7.90625
916,-6.75,-6.78125
917,-6.5625,-6.6875
918,-5.5,-5.5
919,-5.34375,-5.5
920,-8.0625,-9.125
921,-8.5,-8.8125
922,-8.75,-9.0
923,-8.3125,-8.625
924,-8.0,-8.1875
925,-7.84375,-8.0
926,-6.0625,-6.09375
927,-5.9375,-6.0625
928,-5.375,-5.40625
929,-5.46875,-5.59375
930,-8.0625,-9.125
931,-8.5,-8.8125
932,-9.0625,-9.6875
933,-8.5,-8.5625
934,-6.65625,-6.8125
935,-6.53125,-6.65625
936,-5.375,-5.40625
937,-5.625,-5.78125
938,-5.5625,-5.59375
939,-5.78125,-5.96875
940,-8.0625,-9.125
941,-8.5,-8.8125
942,-7.5625,-7.8125
943,-6.875,-6.96875
944,-6.65625,-6.75
945,-6.3125,-6.5
946,-6.28125,-6.3125
947,-5.96875,-6.1875
948,-5.8125,-5.65625
949,-5.6875,-5.875
950,-8.0625,-9.125
