epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,10.142507553100586,6.183917045593262,54.11657225290934,53.28941752115885,1.453125,1.4453125,1.4494974613189697,1.984375,0.0654296875, doors |  cats |  door | Trees |  trees,doors |  birds |  rats |  phones |  cats,0.4748201370239258,0.050359711050987244,0.8992805480957031
12,,0.7494956254959106,0.6949872374534607,42.63333333333333,34.78333333333333,1.453125,1.4453125,1.4494974613189697,1.9453125,0.1005859375, doors |  door |  cats |  dogs |  trees, rats | doors |  birds |  dogs |  cats,0.6079136729240417,0.316546767950058,0.8992805480957031
13,,0.6715558767318726,0.5531408190727234,39.44166666666667,34.16041666666667,1.453125,1.4453125,1.4494974613189697,1.9453125,0.10205078125, doors |  door |  cats |  dogs |  trees, rats | doors |  birds |  dogs |  cats,0.6079136729240417,0.316546767950058,0.8992805480957031
14,,0.7167428135871887,0.43571892380714417,35.375,32.01145833333333,1.453125,1.453125,1.4494974613189697,1.9453125,0.1025390625, doors |  door |  cats |  dogs | _door, rats | doors |  birds |  dogs |  cats,0.6151078939437866,0.316546767950058,0.9136690497398376
15,,0.5400707125663757,0.43983960151672363,35.37291666666667,31.370833333333334,1.453125,1.453125,1.4494974613189697,1.9453125,0.10302734375, doors |  door |  cats |  dogs | _door, rats |  birds | doors |  dogs |  cats,0.6402877569198608,0.36690646409988403,0.9136690497398376
16,,0.4990841746330261,0.3983730971813202,34.141666666666666,29.709375,1.4453125,1.4453125,1.4494974613189697,1.9375,0.10400390625, doors |  door |  cats |  dogs | _door, rats |  birds |  dogs | doors |  cats,0.6582733988761902,0.40287768840789795,0.9136690497398376
17,,0.4287501275539398,0.35791534185409546,31.30625,28.45625,1.453125,1.453125,1.4494974613189697,1.9375,0.103515625, doors |  door |  cats |  dogs | _door, rats |  birds |  dogs | doors |  cats,0.6654676198959351,0.4100719392299652,0.9208633303642273
18,,0.46721571683883667,0.2544808089733124,29.48125,25.130208333333332,1.4453125,1.453125,1.4494974613189697,1.9375,0.10400390625, doors |  door |  cats |  dogs | _door, birds |  rats |  dogs | doors |  cats,0.6726618409156799,0.41726619005203247,0.9280575513839722
19,,0.3359723687171936,0.2966112494468689,26.464583333333334,24.441666666666666,1.453125,1.4453125,1.4494974613189697,1.9375,0.1044921875, doors |  door |  cats | _door |  dogs, birds |  rats |  dogs | doors |  cats,0.6942446231842041,0.46043166518211365,0.9280575513839722
20,,0.3263244032859802,0.28055769205093384,27.020833333333332,25.25,1.453125,1.453125,1.4494974613189697,1.9375,0.10400390625, doors |  door |  cats | _door |  dogs, rats |  birds |  dogs |  cats | doors,0.701438844203949,0.4748201370239258,0.9280575513839722
21,,0.314401775598526,0.25767266750335693,26.0,24.860416666666666,1.453125,1.453125,1.4494974613189697,1.9375,0.103515625, doors |  door |  cats | _door |  dogs, birds |  rats |  dogs |  cats | doors,0.7230215668678284,0.5035971403121948,0.9424460530281067
22,,0.30899161100387573,0.20082995295524597,24.0375,21.857291666666665,1.453125,1.453125,1.4494974613189697,1.9453125,0.10302734375, doors |  door |  cats | _door |  dogs, birds |  rats |  dogs |  cats | doors,0.7158273458480835,0.48201438784599304,0.9496402740478516
23,,0.27325505018234253,0.22424545884132385,22.276041666666668,21.164583333333333,1.453125,1.453125,1.4494974613189697,1.9453125,0.10302734375, doors |  door |  cats | _door |  dogs, birds |  rats |  dogs |  cats | doors,0.7338129281997681,0.5179855823516846,0.9496402740478516
24,,0.2798871099948883,0.1712832897901535,21.36875,18.923958333333335,1.453125,1.453125,1.4494974613189697,1.9453125,0.1025390625, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats | doors,0.7158273458480835,0.48201438784599304,0.9496402740478516
25,,0.22616620361804962,0.1904280036687851,20.823958333333334,18.958333333333332,1.453125,1.4453125,1.4494974613189697,1.9453125,0.1025390625, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats | doors,0.7446042895317078,0.5395683646202087,0.9496402740478516
26,,0.22839875519275665,0.23341509699821472,21.104166666666668,19.73125,1.453125,1.453125,1.4494974613189697,1.9453125,0.1015625, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats |  rabbits,0.7482014298439026,0.5467625856399536,0.9496402740478516
27,,0.23141583800315857,0.1851215660572052,21.504166666666666,20.440625,1.453125,1.453125,1.4494974613189697,1.9453125,0.1005859375, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats |  phones,0.7482014298439026,0.5467625856399536,0.9496402740478516
28,,0.22522027790546417,0.14800089597702026,19.176041666666666,17.833333333333332,1.453125,1.4453125,1.4494974613189697,1.9453125,0.1005859375, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats |  rabbits,0.7517985701560974,0.5539568066596985,0.9496402740478516
29,,0.16901803016662598,0.1600862294435501,17.829166666666666,16.786458333333332,1.453125,1.4453125,1.4494974613189697,1.9453125,0.10009765625, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats |  rabbits,0.7625899314880371,0.5755395889282227,0.9496402740478516
30,,0.18438458442687988,0.18472954630851746,18.616666666666667,17.448958333333334,1.453125,1.453125,1.4494974613189697,1.9453125,0.099609375, doors |  door |  cats | _door |  trees, birds |  rats |  dogs |  cats |  rabbits,0.7589927911758423,0.568345308303833,0.9496402740478516
31,,0.2150685340166092,0.13710197806358337,16.484375,15.9875,1.453125,1.4453125,1.4494974613189697,1.9453125,0.09912109375, doors |  door |  cats | _door |  trees, birds |  dogs |  rats |  cats |  rabbits,0.7553957104682922,0.5611510872840881,0.9496402740478516
